artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
100164,"CFC 119","AAS 184",Gregoire1970AAS,primary,184,,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.07.12.00,"College de France, Paris, France",Administrative,clay,tablet,40.0,16.0,39.0,,,,,,,Poor,,complete,Sumerian,,,,,,S999999,,,,,0,,0,,0,,0,,BDTNS,015905," ",0,0,,,0,0,0,0,,
100167,"CFC 118","AAS 187",Gregoire1970AAS,primary,187,,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.05.11.00,"College de France, Paris, France",Administrative,clay,tablet,37.0,15.0,41.0,,,,,,,Excellent,,complete,Sumerian,,,,,,S003106,,,,,0,,0,,0,,0,,BDTNS,015908," ",0,0,,,0,0,0,0,,
100174,"CFC 144","AAS 194",Gregoire1970AAS,primary,194,,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.09.00.00,"College de France, Paris, France",Administrative,clay,"tablet & envelope",48.0,28.0,34.0,,,,,,,Good,,75%,Sumerian,,,,,,"S001876; S003154",,,"unopened envelope",,0,,0,"unopened envelope",0,,0,,BDTNS,015915," metal",0,0,,,0,0,0,0,,
100178,"AO 19600","AAS 198",Gregoire1970AAS,primary,198,,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.02.00.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,"20091030 englund: 42 workdays to sweep (szu luh ak) a river.",,"ref. Ozaki",0,,0,,0,,0,,"BDTNS; Louvre","015919; cl010144344"," ",0,0,,,0,0,0,0,,
100195,"CULC 241","ABTR 04","Arnold1896ABTR; Garfinkle2010CUSAS16; Lau1906OBTR","primary; history; history","04; 143; 018","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.02.00.00,"Columbia University Library, New York, New York, USA",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,08.07,,,,0,,0,,0,,0,,BDTNS,000024," ",0,0,,,0,0,0,0,,
100306,"BM 014861","AION 31, 175 06",Sauren1971AION31,primary,"175 06",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.03.04.00,"British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S002940,,,,,0,,0,,0,,0,,"BDTNS; eBL; BM","016004; BM.14861; W_1896-0408-56-a"," ",0,0,,,0,0,0,0,,
100309,"BM 015199","AION 31, 177 09",Sauren1971AION31,primary,"177 09",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.01.04.00,"British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,"BDTNS; eBL; BM","016007; BM.15199; W_1896-0408-394"," ",0,0,,,0,0,0,0,,
100315,"Vaux —","AJSL 29, 134, no. 4",Barton1912tablets,primary,"p. 134, no. 4",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.09.08.00,"Vaux, unlocated",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,002492," ",0,0,,,0,0,0,0,,
100316,"Vaux —","AJSL 29, 135, no. 5",Barton1912tablets,primary,"p. 135, no. 5",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.05.05.01,"Vaux, unlocated",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S004252,,,,,0,,0,,0,,0,,BDTNS,002493," ",0,0,,,0,0,0,0,,
100895,"Anonymous 100895","Amherst 057",Pinches1908Amherst,primary,057,,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.01.10.00,"Amherst, unlocated (dispersed)",Administrative,clay,"tablet & envelope",,,,,,,,,,,,,Sumerian,,,,,,S005033,,,"unopened envelope",,0,,0,"unopened envelope",0,,0,,BDTNS,001591," ",0,0,,,0,0,0,0,,
