artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
100144,"CFC 120","AAS 164",Gregoire1970AAS,primary,164,,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.00.00 (us2 year)","College de France, Paris, France",Administrative,clay,tablet,44.0,16.0,37.0,,,,,,,Good,"upper right corner gone",complete,Sumerian,,,,,,S999999,,,,,0,,0,,0,,0,,BDTNS,015885," ",0,0,,,0,0,0,0,,
100168,"CFC 122","AAS 188",Gregoire1970AAS,primary,188,,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šū-Suen.07.00.00,"College de France, Paris, France",Administrative,clay,tablet,39.0,15.0,35.0,,,,,,,Excellent,,complete,Sumerian,,,,,,S003074,,,,,0,,0,,0,,0,,BDTNS,015909," ",0,0,,,0,0,0,0,,
100173,"CFC 121","AAS 193",Gregoire1970AAS,primary,193,,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.02.00 (us2 year)","College de France, Paris, France",Administrative,clay,tablet,36.0,17.0,32.0,,,,,,,Good,"top edge gone",complete,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015914," ",0,0,,,0,0,0,0,,
100307,"BM 015042","AION 31, 176 07",Sauren1971AION31,primary,"176 07",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šū-Suen.03.00.00,"British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,"BDTNS; eBL; BM","016005; BM.15042; W_1896-0408-237"," ",0,0,,,0,0,0,0,,
100308,"BM 015091","AION 31, 176 08",Sauren1971AION31,primary,"176 08",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šū-Suen.03.07.00,"British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S999999,,,,,0,,0,,0,,0,,"BDTNS; eBL; BM","016006; BM.15091; W_1896-0408-286"," ",0,0,,,0,0,0,0,,
100310,"BM 015093","AION 31, 177 10",Sauren1971AION31,primary,"177 10",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.08.00,"British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,"BDTNS; eBL; BM","016008; BM.15093; W_1896-0408-288","gaba-ri ",0,0,,,0,0,0,0,,
100314,"Vaux —","AJSL 29, 134, no. 3","Barton1912tablets; Lambert1963RA57Argent2","primary; history","p. 134, no. 3; 197 51","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šū-Suen.07.00.00,"Vaux, unlocated",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,002491," ",0,0,,,0,0,0,0,,
101717,"von Soden 2","AOAT 240, 75, 2",Farber1995AOAT240,primary,"75, 2",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šū-Suen.08.00.00,"von Soden, Münster, Germany",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S004815,,,,,0,,0,,0,,0,,BDTNS,038079," $u.igi.du",0,0,,,0,0,0,0,,
101739,"Ist L 11094","AOAT 025, 082, 13",Çig1976AOAT25,primary,"082, 13",,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.02.09.00, Šū-Suen.02.10.00","Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,018367," ",0,0,,,0,0,0,0,,
101745,"BM 019356","AOAT 025, 438 BM 19356","Lafont2000textes-judiciaires; Sigrist1995FsGreenfield; Sollberger1976AOAT25","history; history; primary","no. 16; 610-611, no. 1; 438 BM 19356","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šū-Suen.06.00.00,"British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"1895-10-14, 0004",,,,0,,0,,0,,0,,"BDTNS; eBL; BM","018375; BM.19356; W_1895-1014-4"," ",0,0,,,0,0,0,0,,
101746,"BM 019359","AOAT 025, 438 BM 19359","Sigrist1995FsGreenfield; Sollberger1976AOAT25; Wilcke1998elderly","history; primary; history","612-613, no. 2; 438 BM 19359; p. 48","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.04.00.00 (us2 year)","British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"1895-10-14, 0007",,,,0,,0,,0,,0,,"BDTNS; eBL; BM","018373; BM.19359; W_1895-1014-7"," ",0,0,,,0,0,0,0,,
101747,"BM 019360","AOAT 025, 438 BM 19360","Sigrist1995FsGreenfield; Sollberger1976AOAT25","history; primary","613-614, no. 3; 438 BM 19360","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šū-Suen.04.00.00 (us2 year)","British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"1895-10-14, 0008",,,,0,,0,,0,,0,,"BDTNS; eBL; BM","018374; BM.19360; W_1895-1014-8"," ",0,0,,,0,0,0,0,,
