artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
100041,"AO 20313","AAS 053",Gregoire1970AAS,primary,53,,"Puzriš-Dagan (mod. Drehem)","Ur III (ca. 2100-2000 BC)",Šū-Suen.00.00.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S000466,,,,,0,,0,,0,,0,,"BDTNS; Louvre","015782; cl010124448"," ",0,0,,,0,0,0,0,,
100222,"MAT 072","Aegyptus 17, 059 156","Archi1989TCND; Boson1937geografiche","history; primary","72; p. 59 156","; ","Puzriš-Dagan (mod. Drehem)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.08.06,"Museo di Antichità di Torino, Turin, Italy",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,009584," ",0,0,,,0,0,0,0,,
100227,"MAT 266","Aegyptus 19, 236 05","Archi1989TCND; Boson1939iscrizioni","history; primary","266; p. 236 5","; ","Puzriš-Dagan (mod. Drehem)","Ur III (ca. 2100-2000 BC)",Šū-Suen.08.01.00,"Museo di Antichità di Torino, Turin, Italy",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,012118," ",0,0,,,0,0,0,0,,
100229,"MAT 262","Aegyptus 19, 237 07","Archi1989TCND; Boson1939iscrizioni","history; primary","262; p. 237 7","; ","Puzriš-Dagan (mod. Drehem)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.09.20,"Museo di Antichità di Torino, Turin, Italy",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,012120," ",0,0,,,0,0,0,0,,
100287,"Dring 1","AfO 24, 120, pl. 19 Dring 1","Walker1973AfO 24",primary,"pl. 19 Dring 1",,"Puzriš-Dagan (mod. Drehem)","Ur III (ca. 2100-2000 BC)","Šū-Suen.01.10.26, Šū-Suen.01.10.27","E. M. Dring, unlocated",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S000518,,,,,0,,0,,0,,0,,BDTNS,017046," ",0,0,,,0,0,0,0,,
100292,"Böllinger 2","AfO 25, pl. 4, Boellinger 2",Wilcke1974AfO25,primary,"pl. 4, Boellinger 2",,"Puzriš-Dagan (mod. Drehem)","Ur III (ca. 2100-2000 BC)",Šū-Suen.09.11.00,"Böllinger, Germany",Administrative,clay,tag,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,018053," ",0,0,,,0,0,0,0,,
100317,"Vaux —","AJSL 29, 135, no. 6",Barton1912tablets,primary,"p. 135, no. 6",,"Puzriš-Dagan (mod. Drehem)","Ur III (ca. 2100-2000 BC)","Šū-Suen.02.06.00, Šū-Suen.02.12.00","Vaux, unlocated",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S000279,,,,,0,,0,,0,,0,SS08,BDTNS,002494," ",0,0,,,0,0,0,0,,
100318,"Vaux —","AJSL 29, 136, no. 7",Barton1912tablets,primary,"p. 136, no. 7",,"Puzriš-Dagan (mod. Drehem)","Ur III (ca. 2100-2000 BC)","Šū-Suen.07.01.00, Šū-Suen.07.12.00","Vaux, unlocated",Administrative,clay,bulla,,,,,,,,,,,,,Sumerian,,,,,,S000556,,,"round ?",,0,,0,"round ?",0,,0,,BDTNS,002495," ",0,0,,,0,0,0,0,,
100328,"Kazmitcheff 1","Akkadica 021, 48",Talon1981tablette,primary,"p. 48",,"Puzriš-Dagan (mod. Drehem)","Ur III (ca. 2100-2000 BC)","Šū-Suen.04.04.05 (us2 year)","Kazmitcheff, unlocated",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S000321,,,,,0,,0,,0,,0,,BDTNS,023013," ",0,0,,,0,0,0,0,,
100332,"MBTS —","Akkadica 078, 13",Limet1992documents,primary,"p. 13",,"Puzriš-Dagan (mod. Drehem)","Ur III (ca. 2100-2000 BC)",Šū-Suen.08.05.00,"Musée de la Bible et Terre Sainte, Institut Catholique, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,034759," ",0,0,,,0,0,0,0,,
