artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
100001,"AO 20061 + AO 20062","AAS 013","Englund1990Fischerei; Gregoire1970AAS","citation; primary","p. 47 n. 163 (obv. i 5'-6'); 13","; ","Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Amar-Suen.04.00.00, Amar-Suen.05.01.00, Amar-Suen.05.12.00","Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,"20091030 englund: rate of 6 sila3 sze per day in worker equivalence; u4 du8-a conversion rev. ii",,,0,,0,,0,,0,,BDTNS,015742," ",0,0,,,0,0,0,0,,
100005,"CFC 002","AAS 017",Gregoire1970AAS,primary,17,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Amar-Suen.05.03.16 (us2 year)","College de France, Paris, France",Administrative,clay,tablet,42.0,16.0,34.0,,,,,,,Excellent,,complete,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015746," ",0,0,,,0,0,0,0,,
100007,"AO 20058","AAS 019",Gregoire1970AAS,primary,19,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Amar-Suen.02.11.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S002121.1,,,,,0,,0,,0,,0,SH45,BDTNS,015748," ",0,0,,,0,0,0,0,,
100010,"AO 19720","AAS 022",Gregoire1970AAS,primary,22,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Amar-Suen.01.09.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S001798,,,,,0,,0,,0,,0,,BDTNS,015751," ",0,0,,,0,0,0,0,,
100011,"AO 20052","AAS 023",Gregoire1970AAS,primary,23,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Amar-Suen.03.00.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S005354.4,,,,,0,,0,,0,,0,,"BDTNS; Louvre","015752; cl010361208"," ",0,0,,,0,0,0,0,,
100019,"AO 20064","AAS 031",Gregoire1970AAS,primary,31,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Amar-Suen.07.01.20,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015760,"messenger text ",0,0,,,0,0,0,0,,
100024,"AO 19742","AAS 036",Gregoire1970AAS,primary,36,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Amar-Suen.07.10.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015765," ",0,0,,,0,0,0,0,,
100038,"AO 19717","AAS 050",Gregoire1970AAS,primary,50,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Amar-Suen.03.00.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015779," ",0,0,,,0,0,0,0,,
100046,"AO 19723","AAS 058",Gregoire1970AAS,primary,58,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Amar-Suen.02.00.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015787," ",0,0,,,0,0,0,0,,
100050,"AO 19753","AAS 062",Gregoire1970AAS,primary,62,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šulgi.48.00.00, Amar-Suen.01.00.00","Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015791," ",0,0,,,0,0,0,0,,
