artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
100012,"CFC 003","AAS 024",Gregoire1970AAS,primary,24,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.00.00 (us2 year)","College de France, Paris, France",Administrative,clay,tablet,54.0,20.0,38.0,,,,,,,Good,,50%,Sumerian,,,,,,S004443.4,,"20091030 englund: a2 erin2-na text",,,0,,0,,0,,0,,BDTNS,015753," ",0,0,,,0,0,0,0,,
100013,"AO 19610","AAS 025",Gregoire1970AAS,primary,25,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.06.00.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S001636,,,,,0,,0,,0,,0,,BDTNS,015754," ",0,0,,,0,0,0,0,,
100014,"CFC 005","AAS 026",Gregoire1970AAS,primary,26,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.06.07.00, Šū-Suen.06.08.00","College de France, Paris, France",Administrative,clay,tablet,69.0,20.0,47.0,,,,,,,Excellent,,75%,Sumerian,,,,,,S002932.2,,"20091030 englund: rev. 6' one tu worker",,,0,,0,,0,,0,,BDTNS,015755," ",0,0,,,0,0,0,0,,
100015,"CFC 006","AAS 027",Gregoire1970AAS,primary,27,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.06.08.00,"College de France, Paris, France",Administrative,clay,tablet,67.0,21.0,52.0,,,,,,,Good,,75%,Sumerian,,,,,,S002932.2,,,,,0,,0,,0,,0,,BDTNS,015756," ",0,0,,,0,0,0,0,,
100020,"AO 20069","AAS 032",Gregoire1970AAS,primary,32,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.04.04,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015761,"messenger text ",0,0,,,0,0,0,0,,
100021,"AO 20075","AAS 033",Gregoire1970AAS,primary,33,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.09.06.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015762,"messenger text ",0,0,,,0,0,0,0,,
100025,"AO 19750","AAS 037",Gregoire1970AAS,primary,37,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.10.00 (us2 year)","Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015766," ",0,0,,,0,0,0,0,,
100027,"AO 19733","AAS 039",Gregoire1970AAS,primary,39,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.09.06.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015768," ",0,0,,,0,0,0,0,,
100039,"AO 20059","AAS 051",Gregoire1970AAS,primary,51,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.04.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015780," ",0,0,,,0,0,0,0,,
100068,"AO 20050","AAS 081","Gregoire1970AAS; Maekawa1996confiscation","primary; history","81; p. 123 no. 25","; ","Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Amar-Suen.08.00.00, Amar-Suen.09.00.00, Šū-Suen.01.00.00, Šū-Suen.02.00.00","Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015809," ",0,0,,,0,0,0,0,,
100083,"CFC 148","AAS 096",Gregoire1970AAS,primary,96,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.00.00.00,"College de France, Paris, France",Administrative,clay,tablet,57.0,21.0,45.0,,,,,,,Good,,50%,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015824," ",0,0,,,0,0,0,0,,
100122,"CFC 007","AAS 140",Gregoire1970AAS,primary,140,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.00.00,"College de France, Paris, France",Administrative,clay,tablet,122.0,33.0,66.0,,,,,,,Good,,75%,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015863," ",0,0,,,0,0,0,0,,
100126,"AO 20032","AAS 146",Gregoire1970AAS,primary,146,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.02.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015867," ",0,0,,,0,0,0,0,,
100127,"AO 20031","AAS 147",Gregoire1970AAS,primary,147,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.10.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015868," ",0,0,,,0,0,0,0,,
100128,"AO 19757","AAS 148",Gregoire1970AAS,primary,148,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.12.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015869," ",0,0,,,0,0,0,0,,
100133,"AO 19726","AAS 153",Gregoire1970AAS,primary,153,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)",Šū-Suen.02.00.00,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015874," ",0,0,,,0,0,0,0,,
100136,"CFC 001","AAS 156",Gregoire1970AAS,primary,156,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.04.06.26 (us2 year)","College de France, Paris, France",Administrative,clay,tablet,41.0,14.0,38.0,,,,,,,Poor,,complete,Sumerian,,,,,,S999999,,,,,0,,0,,0,,0,,BDTNS,015877," ",0,0,,,0,0,0,0,,
100139,"CFC 004","AAS 159",Gregoire1970AAS,primary,159,,"Umma (mod. Tell Jokha)","Ur III (ca. 2100-2000 BC)","Šū-Suen.05.00.00 (us2 year)","College de France, Paris, France",Administrative,clay,tablet,30.0,14.0,28.0,,,,,,,Excellent,,75%,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,015880,"gaba-ri ",0,0,,,0,0,0,0,,
