Puzriš-Dagan (mod. Drehem)
,,beer,oil,bread,grain,sheep,ox,onion
Amar-Suen,01,2,0,0,14,350,198,1
Amar-Suen,02,5,1,4,13,335,221,0
Amar-Suen,03,0,0,0,16,348,157,0
Amar-Suen,04,0,1,0,19,591,241,1
Amar-Suen,05,4,0,2,17,683,320,0
Amar-Suen,06,1,0,2,14,405,134,0
Amar-Suen,07,2,0,2,19,433,143,1
Amar-Suen,08,8,1,3,16,524,200,0
Amar-Suen,09,1,0,3,20,290,125,0
Šū-Suen,01,3,1,0,11,271,102,0
Šū-Suen,02,2,0,0,12,277,119,0
Šū-Suen,03,2,0,0,18,268,97,0
Šū-Suen,04,1,0,0,3,193,87,0
Šū-Suen,05,1,0,1,6,177,82,0
Šū-Suen,06,2,0,0,7,102,58,0
Šū-Suen,07,0,1,0,13,222,86,0
Šū-Suen,08,2,0,0,24,172,67,0
Šū-Suen,09,2,1,1,12,230,98,1
Girsu (mod. Tello)
,,beer,oil,bread,grain,sheep,ox,onion
Amar-Suen,01,37,35,47,310,128,54,2
Amar-Suen,02,29,24,32,121,38,48,0
Amar-Suen,03,24,17,33,117,40,30,4
Amar-Suen,04,22,10,16,121,41,20,1
Amar-Suen,05,63,18,80,97,62,12,3
Amar-Suen,06,10,6,9,56,10,6,3
Amar-Suen,07,14,20,18,159,27,21,0
Amar-Suen,08,75,71,82,146,75,57,3
Amar-Suen,09,86,68,80,87,25,15,2
Šū-Suen,01,40,37,43,102,49,37,4
Šū-Suen,02,38,10,41,64,23,25,0
Šū-Suen,03,19,25,53,67,16,20,0
Šū-Suen,04,8,8,11,74,17,15,2
Šū-Suen,05,7,13,9,81,79,38,0
Šū-Suen,06,7,13,5,94,30,13,1
Šū-Suen,07,4,8,1,66,14,6,1
Šū-Suen,08,22,19,17,138,65,14,0
Šū-Suen,09,15,7,10,201,29,15,0
Umma (mod. Tell Jokha)
,,beer,oil,bread,grain,sheep,ox,onion
Amar-Suen,01,10,9,8,128,23,26,5
Amar-Suen,02,13,5,25,162,41,53,6
Amar-Suen,03,17,16,16,164,50,48,13
Amar-Suen,04,8,14,24,147,39,49,8
Amar-Suen,05,32,13,24,218,169,67,12
Amar-Suen,06,48,40,48,255,188,55,34
Amar-Suen,07,395,361,378,317,143,52,337
Amar-Suen,08,214,150,182,327,166,99,131
Amar-Suen,09,94,23,57,194,74,46,1
Šū-Suen,01,148,19,68,248,115,50,3
Šū-Suen,02,264,157,184,281,175,90,131
Šū-Suen,03,329,267,305,275,124,103,269
Šū-Suen,04,316,256,276,201,132,67,243
Šū-Suen,05,289,230,246,174,72,38,220
Šū-Suen,06,217,164,185,212,53,32,155
Šū-Suen,07,18,7,17,120,42,14,12
Šū-Suen,08,11,4,8,67,28,7,2
Šū-Suen,09,44,39,42,73,59,16,34
