Puzriš-Dagan (mod. Drehem)
,,ox,shoe
Amar-Suen,01,198,0
Amar-Suen,02,221,1
Amar-Suen,03,157,2
Amar-Suen,04,241,0
Amar-Suen,05,320,2
Amar-Suen,06,134,2
Amar-Suen,07,143,0
Amar-Suen,08,200,2
Amar-Suen,09,125,2
Šū-Suen,01,102,2
Šū-Suen,02,119,1
Šū-Suen,03,97,0
Šū-Suen,04,87,0
Šū-Suen,05,82,0
Šū-Suen,06,58,1
Šū-Suen,07,86,0
Šū-Suen,08,67,0
Šū-Suen,09,98,1
Girsu (mod. Tello)
,,ox,shoe
Amar-Suen,01,54,6
Amar-Suen,02,48,4
Amar-Suen,03,30,17
Amar-Suen,04,20,6
Amar-Suen,05,12,3
Amar-Suen,06,6,3
Amar-Suen,07,21,0
Amar-Suen,08,57,3
Amar-Suen,09,15,5
Šū-Suen,01,37,3
Šū-Suen,02,25,5
Šū-Suen,03,20,4
Šū-Suen,04,15,3
Šū-Suen,05,38,0
Šū-Suen,06,13,2
Šū-Suen,07,6,0
Šū-Suen,08,14,2
Šū-Suen,09,15,1
